name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
Forager Project,San Francisco,CA,USA,National,"All of our chips are made using our fresh pressed vegetables, ancient and sprouted grains and a touch of sea salt. Truly delicious with distinct rich flavor and satisfying crunch, Forager Vegetable Chips are 100% organic, non-GMO, gluten-free, kosher, vegan, corn-free and contain no trans fats.",For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,2012,http://foragerproject.com/,https://www.facebook.com/ForagerProject,https://twitter.com/ForagerProject,https://www.linkedin.com/company/forager-project?trk=top_nav_home,info@foragerproject.com
Forgotten Harvest,Detroit,MI,USA,Local,"Forgotten Harvest “rescued” 40.9 million pounds of food last year by collecting surplus prepared and perishable food from 800 sources.  This donated food, which would otherwise go to waste, is delivered free-of-charge to 250 emergency food providers in the Metro Detroit area. Forgotten Harvest recently began a co-branding program with local manufacturers to increase brand exposure and bring in additional revenue to both parties. ",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing ,Donation Transportation; Donation Storage & Handling; Value-Added Processing ,1990,http://www.forgottenharvest.org/,http://www.facebook.com/forgottenharvest,http://twitter.com/ForgottnHarvest,https://www.linkedin.com/company/forgotten-harvest?trk=top_nav_home,info@forgottenharvest.org
Freed Food Society,Whistler,British Columbia,Canada,Local,"We collect, upcycle and reintroduce into the market products that are not appreciated any more but still optimum for its consumtion. We are currently opperating in Whistler, BC, Canada. Our goal is to bring this project to as many communities as possible with your help.",Nonprofit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,,http://thefreedfoodsociety.org/,https://www.facebook.com/thefreedfoodsociety/?ref=page_internal,,,thefreedfoodsociety@gmail.com
Fresh Food Connect,Denver,CO,USA,Local,"It's so simple. If you are harvesting more from your garden than you can eat, let us pick up your extra veggies, and we'll share it with people in your area who can really use it! Partnership between Groundwork Denver, Denver Urban Gardens, and Denver Food Rescue. ",Nonprofit,Prevention,Donation Coordination; Donation Transportation,Donation Coordinator; Donation Transportation; Consumer Food Recovery,Donation Transportation,2016,http://www.freshfoodconnect.org/,,,,
Fresh Surety,Winter Park,FL,USA,National,"FreshSurety measures freshness to provide up to the minute carton-level quality and value information. Low cost, disposable sensors measure and report temperature, moisture and metabolite data using a proprietary wireless communication system connected to the internet. This information is converted to carton-level product freshness and shelf life assessments essential for effective quality-based purchasing, logistics and merchandising decisions.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2013,http://www.freshsurety.com/,,,https://www.linkedin.com/company/freshsurety-inc.?trk=top_nav_home,info@FreshSurety.com
FreshPaper - Fenugreen,Cambridge,MA,USA,National,"Natural produce saver sheets infused with organic spices that keep fruits & veggies fresh for up to 2-4x longer. FreshPaper sheets are designed to be dropped into any existing packaging, fridge drawer or fruit bowl filled with produce – a simple, intuitive design that can be used by anyone, in any part of the world.",For-Profit,Prevention,Shelf-Life Extension,Coating/Barrier,,2011,http://www.fenugreen.com/freshpaper,http://www.facebook.com/fenugreen,http://www.twitter.com/fenugreen,https://www.linkedin.com/company/fenugreen-freshpaper?trk=top_nav_home,
Frezit Labs,New York,NY,USA,National,"Frezit designs and manufacturers an innovative collection of smart waste disposal units ranging in sizes for residential and commercial use. Using a patent technology to freeze organic waste in smart bins, Frezit helps reduce landfill waste and incineration. The Frezit Commercial Division licenses (HAAS) it’s technology to nationwide sanitation departments to utilize in the reduction of organic waste in landfills.",For-Profit,Recycling,Composting,Commercial Composting; Home Composting,Enhanced Container,2014,http://www.frez.it/,https://www.facebook.com/Frezitlabs/,http://www.twitter.com/Frezit_labs,https://www.linkedin.com/company/frezit-labs?trk=top_nav_home,
Friendships Donation Network,Ithaca,NY,USA,Local,"Friendship Donations Network rescues fresh, nutritious food that would otherwise be thrown away from stores and farms and redistributes it to neighbors in need. The organization also operate Neighborhood Food Hubs, which make donating garden produce easy!  A volunteer Hub Holder hosts a cooler on their front porch one day a week, which serves as the drop-off location for produce. The donations are distributed to food pantries, and when possible stay within the community where they are donated.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Consumer Food Recovery,Donation Transportation; Donation Storage & Handling,1988,https://friendshipdonations.org/,https://www.facebook.com/FriendshipDonations/,https://twitter.com/FDNIthaca,,info@friendshipdonations.org
Froodly,Helsinki,,Finland,Local,"Froodly allows shoppers in the Helsinki area to find expiring products at local supermarkets so that they can help reduce food waste and save money. The content of the application is crowdsourced to Froodly's contributors, in exchange for rewards. Froodly is working to minimise retail food waste to provide a sustainable food chain that cares about the environment.",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2015,www.froodly.com,https://www.facebook.com/froodly,https://twitter.com/froodlyco,https://www.linkedin.com/company/froodly,info@froodly.com
Fruitcycle - Together We Bake,Washington D.C.,,USA,National,"Fruitcycle is a social enterprise that makes delicious, healthy, locally sourced snacks. We focus on using produce that would otherwise go to waste and we provide jobs for women who have been formerly incarcerated, homeless, or are otherwise disadvantaged.",Nonprofit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2014,http://www.thefruitcycle.com/,https://www.facebook.com/thefruitcycle,https://twitter.com/thefruitcycle,,hello@thefruitcycle.com
Fruit Magpie,Tottenham,,United Kingdom,Local,I make fruit cheese (a type of fruit preserve) with produce from local urban gardens and allotments. I am passionate about local food and reducing food waste and this is behind everything I do.,For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2015,http://fruitmagpie.co.uk/,https://www.facebook.com/fruitmagpie/,https://twitter.com/FruitMagpie,,info@fruitmagpie.co.uk
Fulcrum Bioenergy,Pleasanton,CA,USA,National,"Fulcrum is a pioneer in the development of a reliable and efficient process for transforming everyday household garbage into low-carbon transportation fuels including jet fuel and diesel.  Our low-cost process will reduce our dependence on imported oil, create new clean energy jobs and significantly reduce greenhouse gas emissions compared to traditional petroleum production.",For-Profit,Recycling,Specialty Recycled Products,Industrial Products,,2007,http://fulcrum-bioenergy.com/,,,,info@fulcrum-bioenergy.com
Full Circle Feed,Syracuse,NY,USA,National,"For far too long, our society has ignored and disposed of billions of tons of valuable extra food. Within this food there is energy and nutrients that can be captured and reused. Full Circle Feed does just that!  Our treats are made with vegetables, meats, fruits, and breads from restaurant buffets that were prepared but not served. The result is a healthy, delicious, environmentally-sustainable dog treat!",For-Profit,Recycling,Specialty Recycled Products,Consumer Products ,,2012,http://www.fullcirclefeed.com/,https://www.facebook.com/FullCircleFeed,https://twitter.com/FullCircleFeed,https://www.linkedin.com/company/full-circle-feed?trk=top_nav_home,Info@FullCircleFeed.com
Full Cycle BioPlastics,Richmond,CA,USA,National,"Full Cycle Bioplastics (FCB) has developed a profitable and eco-friendly waste to bioplastic conversion technology in a scalable platform. FCB’s proprietary biotechnology process can convert a full range of organic waste materials into polyhydroxyalkanoate (PHA), a high performance biodegradable substitute for petroleum-based plastics. This bioplastic resin can be manufactured into finished goods that, upon reaching the end of their useful life, can be reintroduced back into our system and reformed anew repeatedly.",For-Profit,Recycling,Specialty Recycled Products,Consumer Products; Industrial Products,,2014,http://fullcyclebioplastics.com/,https://www.facebook.com/fullcyclebioplastics/,https://twitter.com/FullCycleBio?lang=en,https://www.linkedin.com/company/full-cycle-bioplastics?trk=top_nav_home,
Full Harvest,San Francisco,CA,USA,Local,Full Harvest is a B2B platform that helps farmers sell their surplus and imperfect crops that would have otherwise gone to waste.,For-profit,Prevention,Secondary Marketplace,Farm to Buyer,Secondary Resellers,2015,http://fullharvest.co/,https://www.facebook.com/fullharvestsf/,https://www.twitter.com/fullharvestsf/,https://www.linkedin.com/company/full-harvest-technologies?trk=top_nav_home,support@fullharvest.co
Full Plate Ventures - Farm to Freeze,Washington D.C.,,USA,Local,"Farm to Freezer is a new brand of delicious, healthy, and locally-produced foods from vegetables that are frozen at the peak of ripeness. Your purchase of Farm to Freezer products allows us to provide this nutrient-rich food at deep discount to local hunger relief agencies for those in need.",For-Profit,Recovery,Donated Food Processing,Value-Added Processing,Value-Added Processing,2012,https://farmtofreezer.wordpress.com/about/who-we-are/,https://www.facebook.com/Farm2Freezer/?ref=page_internal,,,cheryl@fullplateventures.com
